unit,cycle,anomaly_score,health_score,health_status
1,1,-0.0729697412366724,80.76,NORMAL
1,2,-0.0900317633989484,88.41,NORMAL
1,3,-0.0442079932238279,67.86,WARNING
1,4,-0.0478152117174277,69.48,WARNING
1,5,-0.1009911604375122,93.32,NORMAL
1,6,-0.0502916240101999,70.59,NORMAL
1,7,-0.0814477874690301,84.56,NORMAL
1,8,-0.0476112797734553,69.39,WARNING
1,9,-0.0632617709926589,76.41,NORMAL
1,10,-0.0544322295196137,72.45,NORMAL
1,11,-0.0561450569475345,73.21,NORMAL
1,12,-0.0562862787568342,73.28,NORMAL
1,13,-0.0728080676282279,80.69,NORMAL
1,14,-0.0555673478751271,72.95,NORMAL
1,15,-0.0625284836209579,76.08,NORMAL
1,16,-0.0860651051104678,86.63,NORMAL
1,17,-0.095150886888889,90.7,NORMAL
1,18,-0.0833853876884082,85.43,NORMAL
1,19,-0.0615377557101944,75.63,NORMAL
1,20,-0.0396162248842033,65.8,WARNING
1,21,-0.0654992000107081,77.41,NORMAL
1,22,-0.0997968299416131,92.79,NORMAL
1,23,-0.060908400692537,75.35,NORMAL
1,24,-0.0774559982542451,82.77,NORMAL
1,25,-0.0569802390566225,73.59,NORMAL
1,26,-0.0780329207301375,83.03,NORMAL
1,27,-0.0762220824079574,82.22,NORMAL
1,28,-0.0154546632911887,54.97,WARNING
1,29,-0.0831945633544361,85.34,NORMAL
1,30,-0.0461230370129875,68.72,WARNING
1,31,-0.0686718226605488,78.83,NORMAL
1,32,-0.0653940089615104,77.36,NORMAL
1,33,-0.0561393643254101,73.21,NORMAL
1,34,-0.0888406335487327,87.88,NORMAL
1,35,-0.0734648320703396,80.98,NORMAL
1,36,-0.0826941518459473,85.12,NORMAL
1,37,-0.077097782120495,82.61,NORMAL
1,38,-0.0622343059924781,75.94,NORMAL
1,39,-0.0733553035865317,80.93,NORMAL
1,40,-0.0685290784395716,78.77,NORMAL
1,41,-0.0591880230264083,74.58,NORMAL
1,42,-0.0890309109351169,87.96,NORMAL
1,43,-0.0601502806931301,75.01,NORMAL
1,44,-0.0734265879076545,80.96,NORMAL
1,45,-0.0987437067170318,92.32,NORMAL
1,46,-0.1037481930848072,94.56,NORMAL
1,47,-0.0518313389828307,71.28,NORMAL
1,48,-0.0891658064184712,88.02,NORMAL
1,49,-0.0607448944312418,75.28,NORMAL
1,50,-0.0918454183615193,89.22,NORMAL
1,51,-0.0842276848669864,85.81,NORMAL
1,52,-0.054427385384052,72.44,NORMAL
1,53,-0.0887605531567189,87.84,NORMAL
1,54,-0.0717608200977723,80.22,NORMAL
1,55,-0.0914864696779654,89.06,NORMAL
1,56,-0.0601330616920075,75.0,NORMAL
1,57,-0.0994952724141387,92.65,NORMAL
1,58,-0.05203296149433,71.37,NORMAL
1,59,-0.0734798632479163,80.99,NORMAL
1,60,-0.0810360760924034,84.38,NORMAL
1,61,-0.0634819625109763,76.5,NORMAL
1,62,-0.0557842508596544,73.05,NORMAL
1,63,-0.0887870520128228,87.85,NORMAL
1,64,-0.0762185475111518,82.22,NORMAL
1,65,-0.0787371843653342,83.34,NORMAL
1,66,-0.0729694519054589,80.76,NORMAL
1,67,-0.0697147603897967,79.3,NORMAL
1,68,-0.1058131755719627,95.49,NORMAL
1,69,-0.0697758506640011,79.33,NORMAL
1,70,-0.0957357369717593,90.97,NORMAL
1,71,-0.067574205561891,78.34,NORMAL
1,72,-0.0710567358159848,79.9,NORMAL
1,73,-0.0721113373048535,80.37,NORMAL
1,74,-0.0691704093302549,79.05,NORMAL
1,75,-0.0528588251801648,71.74,NORMAL
1,76,-0.0630358078447335,76.3,NORMAL
1,77,-0.0827884819662049,85.16,NORMAL
1,78,-0.0471737125850451,69.19,WARNING
1,79,-0.0871262600815029,87.11,NORMAL
1,80,-0.0696680727977542,79.28,NORMAL
1,81,-0.0900951998191641,88.44,NORMAL
1,82,-0.0827387974874289,85.14,NORMAL
1,83,-0.0791983127627225,83.55,NORMAL
1,84,-0.1076940025690715,96.33,NORMAL
1,85,-0.0855158819073627,86.38,NORMAL
1,86,-0.0832616574486657,85.37,NORMAL
1,87,-0.0699822219491169,79.42,NORMAL
1,88,-0.0622398459850239,75.95,NORMAL
1,89,-0.1126166570785124,98.54,NORMAL
1,90,-0.064510127123573,76.96,NORMAL
1,91,-0.0603989539292195,75.12,NORMAL
1,92,-0.086459004451677,86.81,NORMAL
1,93,-0.0933501953113498,89.9,NORMAL
1,94,-0.0930016227664701,89.74,NORMAL
1,95,-0.066867237041913,78.02,NORMAL
1,96,-0.0806342938207312,84.2,NORMAL
1,97,-0.0703263832799792,79.57,NORMAL
1,98,-0.0576256072174018,73.88,NORMAL
1,99,-0.1130200520954571,98.72,NORMAL
1,100,-0.0815296965410661,84.6,NORMAL
1,101,-0.0776185026364413,82.84,NORMAL
1,102,-0.0865686964243056,86.86,NORMAL
1,103,-0.0775516452706815,82.81,NORMAL
1,104,-0.0921633761438445,89.37,NORMAL
1,105,-0.0915242342632116,89.08,NORMAL
1,106,-0.0974788382807114,91.75,NORMAL
1,107,-0.0802423808496672,84.02,NORMAL
1,108,-0.0678553540672846,78.46,NORMAL
1,109,-0.0798668448001667,83.85,NORMAL
1,110,-0.0829046943595308,85.21,NORMAL
1,111,-0.0879308917630402,87.47,NORMAL
1,112,-0.0968894987017011,91.48,NORMAL
1,113,-0.1104319479879369,97.56,NORMAL
1,114,-0.0866136341953684,86.88,NORMAL
1,115,-0.0912161999055174,88.94,NORMAL
1,116,-0.0593588287833459,74.65,NORMAL
1,117,-0.0600392840618687,74.96,NORMAL
1,118,-0.0936208997517339,90.02,NORMAL
1,119,-0.0766026884666485,82.39,NORMAL
1,120,-0.0868733732062331,86.99,NORMAL
1,121,-0.0677687816016588,78.43,NORMAL
1,122,-0.0919899580665279,89.29,NORMAL
1,123,-0.0649496938701055,77.16,NORMAL
1,124,-0.093774325127335,90.09,NORMAL
1,125,-0.0661082966347762,77.68,NORMAL
1,126,-0.0856819704661485,86.46,NORMAL
1,127,-0.0982086314946485,92.08,NORMAL
1,128,-0.095953143915004,91.06,NORMAL
1,129,-0.0822978601341737,84.94,NORMAL
1,130,-0.0805357760722173,84.15,NORMAL
1,131,-0.0796972104754673,83.77,NORMAL
