asset_id,asset_type,criticality,operational_status
ENG-001,Turbofan Engine,CRITICAL,ACTIVE
ENG-002,Turbofan Engine,LOW,ACTIVE
ENG-003,Turbofan Engine,HIGH,ACTIVE
ENG-004,Turbofan Engine,MEDIUM,MAINTENANCE
ENG-005,Turbofan Engine,LOW,ACTIVE
ENG-006,Turbofan Engine,HIGH,ACTIVE
ENG-007,Turbofan Engine,MEDIUM,ACTIVE
ENG-008,Turbofan Engine,CRITICAL,ACTIVE
ENG-009,Turbofan Engine,LOW,INACTIVE
ENG-010,Turbofan Engine,HIGH,ACTIVE
ENG-011,Turbofan Engine,MEDIUM,ACTIVE
ENG-012,Turbofan Engine,LOW,ACTIVE
ENG-013,Turbofan Engine,HIGH,ACTIVE
ENG-014,Turbofan Engine,MEDIUM,MAINTENANCE
ENG-015,Turbofan Engine,CRITICAL,ACTIVE
ENG-016,Turbofan Engine,LOW,ACTIVE
ENG-017,Turbofan Engine,HIGH,ACTIVE
ENG-018,Turbofan Engine,MEDIUM,ACTIVE
ENG-019,Turbofan Engine,LOW,ACTIVE
ENG-020,Turbofan Engine,HIGH,ACTIVE
ENG-021,Turbofan Engine,MEDIUM,ACTIVE
ENG-022,Turbofan Engine,CRITICAL,ACTIVE
ENG-023,Turbofan Engine,LOW,ACTIVE
ENG-024,Turbofan Engine,HIGH,MAINTENANCE
ENG-025,Turbofan Engine,MEDIUM,ACTIVE
ENG-026,Turbofan Engine,LOW,ACTIVE
ENG-027,Turbofan Engine,HIGH,ACTIVE
ENG-028,Turbofan Engine,MEDIUM,ACTIVE
ENG-029,Turbofan Engine,CRITICAL,INACTIVE
ENG-030,Turbofan Engine,LOW,ACTIVE
ENG-031,Turbofan Engine,HIGH,ACTIVE
ENG-032,Turbofan Engine,MEDIUM,ACTIVE
ENG-033,Turbofan Engine,LOW,ACTIVE
ENG-034,Turbofan Engine,HIGH,MAINTENANCE
ENG-035,Turbofan Engine,MEDIUM,ACTIVE
ENG-036,Turbofan Engine,CRITICAL,ACTIVE
ENG-037,Turbofan Engine,LOW,ACTIVE
ENG-038,Turbofan Engine,HIGH,ACTIVE
ENG-039,Turbofan Engine,MEDIUM,ACTIVE
ENG-040,Turbofan Engine,LOW,ACTIVE
ENG-041,Turbofan Engine,HIGH,ACTIVE
ENG-042,Turbofan Engine,MEDIUM,ACTIVE
ENG-043,Turbofan Engine,CRITICAL,ACTIVE
ENG-044,Turbofan Engine,LOW,MAINTENANCE
ENG-045,Turbofan Engine,HIGH,ACTIVE
ENG-046,Turbofan Engine,MEDIUM,ACTIVE
ENG-047,Turbofan Engine,LOW,ACTIVE
ENG-048,Turbofan Engine,HIGH,ACTIVE
ENG-049,Turbofan Engine,MEDIUM,INACTIVE
