asset_id,maintenance_date,maintenance_type,component,description,maintenance_status
ENG-001,2025-01-29,PREVENTIVE,Combustor,Preventive maintenance completed per service schedule,COMPLETED
ENG-001,2025-04-15,COMPONENT_REPLACEMENT,Oil System,Component replacement completed,COMPLETED
ENG-001,2025-06-23,PREVENTIVE,Turbine,Preventive maintenance completed per service schedule,COMPLETED
ENG-002,2025-02-14,CORRECTIVE,Compressor,Corrective maintenance after abnormal operating condition,COMPLETED
ENG-002,2025-05-30,INSPECTION,LPC,Routine engine inspection completed,COMPLETED
ENG-002,2025-08-22,CORRECTIVE,Bearings,Corrective maintenance after abnormal operating condition,COMPLETED
ENG-002,2026-01-06,PREVENTIVE,Combustor,Preventive maintenance completed per service schedule,COMPLETED
ENG-003,2025-02-28,INSPECTION,HPC,Routine engine inspection completed,COMPLETED
ENG-003,2025-07-21,PREVENTIVE,Fuel System,Preventive maintenance completed per service schedule,COMPLETED
ENG-003,2025-10-04,INSPECTION,Fan,Routine engine inspection completed,COMPLETED
ENG-003,2026-02-04,CORRECTIVE,Compressor,Corrective maintenance after abnormal operating condition,COMPLETED
ENG-003,2026-05-29,INSPECTION,LPC,Routine engine inspection completed,COMPLETED
ENG-004,2025-03-01,PREVENTIVE,Combustor,Preventive maintenance completed per service schedule,COMPLETED
ENG-004,2025-07-27,COMPONENT_REPLACEMENT,Oil System,Component replacement completed,COMPLETED
ENG-005,2025-03-12,CORRECTIVE,Compressor,Corrective maintenance after abnormal operating condition,COMPLETED
ENG-005,2025-06-02,INSPECTION,LPC,Routine engine inspection completed,COMPLETED
ENG-005,2025-10-24,CORRECTIVE,Bearings,Corrective maintenance after abnormal operating condition,COMPLETED
ENG-006,2025-02-27,INSPECTION,HPC,Routine engine inspection completed,COMPLETED
ENG-006,2025-07-11,PREVENTIVE,Fuel System,Preventive maintenance completed per service schedule,COMPLETED
ENG-006,2025-10-06,INSPECTION,Fan,Routine engine inspection completed,COMPLETED
ENG-006,2026-03-04,CORRECTIVE,Compressor,Corrective maintenance after abnormal operating condition,COMPLETED
ENG-007,2025-03-10,PREVENTIVE,Combustor,Preventive maintenance completed per service schedule,COMPLETED
ENG-007,2025-06-15,INSPECTION,Oil System,Routine engine inspection completed,COMPLETED
ENG-007,2025-08-13,PREVENTIVE,Turbine,Preventive maintenance completed per service schedule,COMPLETED
ENG-007,2026-01-13,INSPECTION,HPC,Routine engine inspection completed,COMPLETED
ENG-007,2026-05-02,PREVENTIVE,Fuel System,Preventive maintenance completed per service schedule,COMPLETED
ENG-008,2025-03-22,CORRECTIVE,Compressor,Corrective maintenance after abnormal operating condition,COMPLETED
ENG-008,2025-07-26,PREVENTIVE,LPC,Preventive maintenance completed per service schedule,COMPLETED
ENG-009,2025-02-19,INSPECTION,HPC,Routine engine inspection completed,COMPLETED
ENG-009,2025-06-14,CORRECTIVE,Fuel System,Corrective maintenance after abnormal operating condition,COMPLETED
ENG-009,2025-09-12,INSPECTION,Fan,Routine engine inspection completed,COMPLETED
ENG-010,2025-03-08,PREVENTIVE,Combustor,Preventive maintenance completed per service schedule,COMPLETED
ENG-010,2025-05-22,INSPECTION,Oil System,Routine engine inspection completed,COMPLETED
ENG-010,2025-08-29,PREVENTIVE,Turbine,Preventive maintenance completed per service schedule,COMPLETED
ENG-010,2025-11-26,INSPECTION,HPC,Routine engine inspection completed,COMPLETED
ENG-011,2025-02-18,CORRECTIVE,Compressor,Corrective maintenance after abnormal operating condition,COMPLETED
ENG-011,2025-04-28,PREVENTIVE,LPC,Preventive maintenance completed per service schedule,COMPLETED
ENG-011,2025-07-31,COMPONENT_REPLACEMENT,Bearings,Component replacement completed,COMPLETED
ENG-011,2025-11-12,PREVENTIVE,Combustor,Preventive maintenance completed per service schedule,COMPLETED
ENG-011,2026-03-01,INSPECTION,Oil System,Routine engine inspection completed,COMPLETED
ENG-012,2025-01-27,INSPECTION,HPC,Routine engine inspection completed,COMPLETED
ENG-012,2025-06-16,CORRECTIVE,Fuel System,Corrective maintenance after abnormal operating condition,COMPLETED
ENG-013,2025-03-26,PREVENTIVE,Combustor,Preventive maintenance completed per service schedule,COMPLETED
ENG-013,2025-06-30,INSPECTION,Oil System,Routine engine inspection completed,COMPLETED
ENG-013,2025-09-02,PREVENTIVE,Turbine,Preventive maintenance completed per service schedule,COMPLETED
ENG-014,2025-02-08,COMPONENT_REPLACEMENT,Compressor,Component replacement completed,COMPLETED
ENG-014,2025-04-07,PREVENTIVE,LPC,Preventive maintenance completed per service schedule,COMPLETED
ENG-014,2025-06-24,INSPECTION,Bearings,Routine engine inspection completed,COMPLETED
ENG-014,2025-11-06,PREVENTIVE,Combustor,Preventive maintenance completed per service schedule,COMPLETED
ENG-015,2025-02-19,INSPECTION,HPC,Routine engine inspection completed,COMPLETED
ENG-015,2025-04-26,CORRECTIVE,Fuel System,Corrective maintenance after abnormal operating condition,COMPLETED
ENG-015,2025-07-22,PREVENTIVE,Fan,Preventive maintenance completed per service schedule,COMPLETED
ENG-015,2025-10-05,COMPONENT_REPLACEMENT,Compressor,Component replacement completed,COMPLETED
ENG-015,2026-02-12,PREVENTIVE,LPC,Preventive maintenance completed per service schedule,COMPLETED
ENG-016,2025-03-28,PREVENTIVE,Combustor,Preventive maintenance completed per service schedule,COMPLETED
ENG-016,2025-08-25,INSPECTION,Oil System,Routine engine inspection completed,COMPLETED
ENG-017,2025-01-25,COMPONENT_REPLACEMENT,Compressor,Component replacement completed,COMPLETED
ENG-017,2025-03-25,PREVENTIVE,LPC,Preventive maintenance completed per service schedule,COMPLETED
ENG-017,2025-07-25,INSPECTION,Bearings,Routine engine inspection completed,COMPLETED
ENG-018,2025-03-07,INSPECTION,HPC,Routine engine inspection completed,COMPLETED
ENG-018,2025-05-08,CORRECTIVE,Fuel System,Corrective maintenance after abnormal operating condition,COMPLETED
ENG-018,2025-07-20,PREVENTIVE,Fan,Preventive maintenance completed per service schedule,COMPLETED
ENG-018,2025-11-12,COMPONENT_REPLACEMENT,Compressor,Component replacement completed,COMPLETED
ENG-019,2025-03-03,PREVENTIVE,Combustor,Preventive maintenance completed per service schedule,COMPLETED
ENG-019,2025-05-23,INSPECTION,Oil System,Routine engine inspection completed,COMPLETED
ENG-019,2025-10-19,CORRECTIVE,Turbine,Corrective maintenance after abnormal operating condition,COMPLETED
ENG-019,2026-01-24,INSPECTION,HPC,Routine engine inspection completed,COMPLETED
ENG-019,2026-04-25,CORRECTIVE,Fuel System,Scheduled inspection,SCHEDULED
ENG-020,2025-02-12,INSPECTION,Compressor,Routine engine inspection completed,COMPLETED
ENG-020,2025-04-25,PREVENTIVE,LPC,Preventive maintenance completed per service schedule,COMPLETED
ENG-021,2025-03-19,PREVENTIVE,HPC,Preventive maintenance completed per service schedule,COMPLETED
ENG-021,2025-06-24,COMPONENT_REPLACEMENT,Fuel System,Component replacement completed,COMPLETED
ENG-021,2025-11-05,PREVENTIVE,Fan,Preventive maintenance completed per service schedule,COMPLETED
ENG-022,2025-01-27,CORRECTIVE,Combustor,Corrective maintenance after abnormal operating condition,COMPLETED
ENG-022,2025-06-12,INSPECTION,Oil System,Routine engine inspection completed,COMPLETED
ENG-022,2025-08-12,CORRECTIVE,Turbine,Corrective maintenance after abnormal operating condition,COMPLETED
ENG-022,2026-01-06,PREVENTIVE,HPC,Preventive maintenance completed per service schedule,COMPLETED
ENG-023,2025-02-18,INSPECTION,Compressor,Routine engine inspection completed,COMPLETED
ENG-023,2025-05-26,PREVENTIVE,LPC,Preventive maintenance completed per service schedule,COMPLETED
ENG-023,2025-09-30,INSPECTION,Bearings,Routine engine inspection completed,COMPLETED
ENG-023,2026-01-09,CORRECTIVE,Combustor,Corrective maintenance after abnormal operating condition,COMPLETED
ENG-023,2026-03-13,INSPECTION,Oil System,Scheduled maintenance cancelled,CANCELLED
ENG-024,2025-03-23,PREVENTIVE,HPC,Preventive maintenance completed per service schedule,COMPLETED
ENG-024,2025-06-19,COMPONENT_REPLACEMENT,Fuel System,Component replacement completed,COMPLETED
ENG-025,2025-03-03,CORRECTIVE,Combustor,Corrective maintenance after abnormal operating condition,COMPLETED
ENG-025,2025-05-06,INSPECTION,Oil System,Routine engine inspection completed,COMPLETED
